Year,Team,PTS,FGA,3PA,3P%,AST,TOV,3P_Rate,Pace,ORtg,Era
1994,POR,107.3,90.6,9.4,0.353,25.2,14.8,0.10375275938189847,118.24799999999999,0.9074149245653204,1990s
1994,CHA,106.5,86.6,11.2,0.367,27.0,15.4,0.12933025404157045,113.44,0.9388222849083216,1990s
1994,OKC,105.9,84.2,8.8,0.335,25.8,15.4,0.10451306413301663,112.36000000000001,0.94250622997508,1990s
1994,ORL,105.7,83.9,13.9,0.347,25.2,16.2,0.16567342073897495,112.68400000000001,0.9380213694934506,1990s
1994,MIA,103.4,84.1,12.2,0.338,22.6,16.0,0.1450653983353151,112.024,0.9230164964650432,1990s
1994,BKN,103.2,86.8,8.3,0.327,23.2,14.6,0.09562211981566822,114.776,0.8991426779117586,1990s
1994,LAC,103.0,87.4,10.1,0.303,26.5,18.0,0.11556064073226543,116.84,0.8815474152687436,1990s
1994,UTA,101.9,82.1,6.8,0.32,26.6,14.5,0.0828258221680877,109.36,0.931784930504755,1990s
1994,ATL,101.4,85.8,10.1,0.323,25.1,15.3,0.11771561771561771,112.18799999999999,0.9038399828858703,1990s
1994,CLE,101.2,82.1,9.9,0.362,25.0,13.9,0.12058465286236299,108.1,0.9361702127659576,1990s
1994,SAC,101.1,85.7,8.9,0.353,24.7,16.3,0.10385064177362893,114.32000000000001,0.8843596920923722,1990s
1994,HOU,101.1,82.1,15.7,0.334,25.5,16.3,0.19123020706455543,109.00399999999999,0.927488899489927,1990s
1994,IND,101.0,79.5,6.1,0.368,25.1,17.6,0.07672955974842767,109.904,0.9189838404425681,1990s
1994,BOS,100.8,86.1,5.8,0.289,23.5,15.1,0.06736353077816493,111.93599999999999,0.9005145797598628,1990s
1994,LAL,100.4,89.2,9.8,0.3,24.2,14.6,0.10986547085201794,114.36,0.8779293459251487,1990s
1994,WAS,100.4,83.2,9.1,0.297,22.2,17.1,0.10937499999999999,111.916,0.897101397476679,1990s
1994,DEN,100.3,82.7,7.3,0.285,21.5,17.3,0.08827085852478839,112.98,0.887767746503806,1990s
1994,SAS,100.0,81.6,8.7,0.349,23.1,14.6,0.10661764705882353,107.728,0.9282637754344275,1990s
1994,NYK,98.5,82.1,11.1,0.348,25.2,16.6,0.13520097442143728,109.964,0.8957476992470264,1990s
1994,PHI,98.0,83.2,11.5,0.338,22.3,16.7,0.13822115384615385,111.25200000000001,0.8808830403048933,1990s
1994,CHI,98.0,83.1,8.0,0.354,25.6,15.9,0.09626955475330927,108.988,0.8991815612728007,1990s
1994,MIL,96.9,83.0,12.4,0.325,23.7,16.4,0.1493975903614458,111.10400000000001,0.8721558179723502,1990s
1994,DET,96.9,85.6,12.7,0.344,21.5,15.1,0.1483644859813084,109.89599999999999,0.8817427385892118,1990s
1994,MIN,96.7,79.7,6.8,0.329,24.0,18.0,0.08531994981179422,110.06400000000001,0.8785797354266608,1990s
1994,DAL,95.1,86.2,9.4,0.312,19.9,17.0,0.10904872389791183,113.628,0.8369415989016791,1990s
1995,ORL,110.9,84.1,17.2,0.37,27.8,15.8,0.20451843043995244,113.14399999999999,0.9801668670013436,1990s
1995,PHX,110.6,85.0,19.3,0.369,26.8,14.2,0.22705882352941179,111.828,0.9890188503773651,1990s
1995,OKC,110.4,82.2,15.9,0.376,25.8,15.8,0.19343065693430656,111.772,0.9877250116308199,1990s
1995,SAS,106.6,81.5,14.1,0.375,23.4,15.2,0.17300613496932515,110.032,0.9688090737240075,1990s
1995,UTA,106.4,77.3,9.8,0.376,27.5,15.7,0.12677878395860287,106.33200000000001,1.0006395064514915,1990s
1995,GSW,105.7,83.8,19.5,0.341,24.6,18.3,0.23269689737470167,114.948,0.9195462295994712,1990s
1995,LAL,105.1,86.4,18.2,0.352,25.3,15.2,0.21064814814814814,112.73200000000001,0.9322996132420251,1990s
1995,HOU,103.5,80.2,21.4,0.368,25.1,16.1,0.26683291770573564,107.256,0.9649809800850302,1990s
1995,DAL,103.2,89.5,14.6,0.322,23.7,16.4,0.16312849162011173,117.78,0.8762098828323994,1990s
1995,POR,103.1,87.0,15.4,0.365,22.5,14.8,0.17701149425287357,113.768,0.9062302229097813,1990s
1995,BOS,102.8,83.5,12.0,0.368,21.7,15.9,0.1437125748502994,111.58800000000001,0.921246012115998,1990s
1995,CHI,101.5,81.8,14.5,0.373,24.0,15.8,0.17726161369193155,108.68799999999999,0.9338657441483882,1990s
1995,DEN,101.3,78.8,14.1,0.356,22.4,16.8,0.17893401015228427,107.964,0.9382757215368086,1990s
1995,MIA,101.1,82.2,14.4,0.369,21.7,15.7,0.17518248175182483,109.34,0.9246387415401499,1990s
1995,CHA,100.6,78.5,17.2,0.397,25.3,14.9,0.21910828025477705,104.35600000000001,0.9640078193874811,1990s
1995,WAS,100.5,84.1,15.4,0.343,21.3,15.9,0.183115338882283,110.78,0.9072034663296624,1990s
